# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/
#
# File: B2_3yr_373sqdeg_field_20140509.txt
# Date: 2014-05-09
#
# BICEP2 field outline.
# The four columns are right ascension, declination, galactic
# longitude, and galactic latitude in degrees.
#
# The field outline is the polarization weight map contour enclosing
# 373 square degrees.
#
# Columns: RA, Dec., l, b
18.88,-51.12,293.78,-65.57
18.41,-51.12,294.47,-65.64
17.94,-50.88,295.05,-65.94
17.48,-50.88,295.76,-66.00
17.01,-50.88,296.47,-66.04
16.55,-50.88,297.19,-66.09
16.08,-50.88,297.91,-66.13
15.61,-50.88,298.63,-66.16
15.15,-50.88,299.35,-66.19
14.68,-50.88,300.08,-66.21
14.22,-50.88,300.81,-66.23
13.75,-50.88,301.54,-66.24
13.28,-50.88,302.27,-66.25
12.82,-50.88,303.00,-66.25
12.35,-50.88,303.73,-66.25
11.89,-50.88,304.46,-66.24
11.42,-50.88,305.19,-66.23
10.95,-50.88,305.91,-66.21
10.49,-50.88,306.64,-66.18
10.02,-50.88,307.36,-66.16
9.56,-50.88,308.09,-66.12
9.09,-50.88,308.81,-66.08
8.62,-50.88,309.52,-66.04
8.16,-50.88,310.24,-65.99
7.69,-50.88,310.94,-65.93
7.22,-50.88,311.65,-65.87
6.76,-50.88,312.35,-65.80
6.29,-50.88,313.05,-65.73
5.83,-50.88,313.74,-65.66
5.36,-50.88,314.42,-65.58
4.89,-50.88,315.10,-65.49
4.43,-50.88,315.78,-65.40
3.96,-50.88,316.44,-65.31
3.50,-50.88,317.11,-65.21
3.03,-50.88,317.76,-65.11
2.56,-50.88,318.41,-65.00
2.10,-50.88,319.05,-64.88
1.63,-50.88,319.68,-64.77
1.17,-50.88,320.31,-64.65
0.70,-50.88,320.93,-64.52
0.23,-50.88,321.54,-64.39
-0.23,-50.88,322.14,-64.25
-0.70,-50.88,322.74,-64.12
-1.17,-50.88,323.33,-63.97
-1.63,-50.88,323.91,-63.83
-2.10,-50.88,324.48,-63.68
-2.56,-50.88,325.04,-63.52
-3.03,-50.88,325.60,-63.36
-3.50,-50.88,326.14,-63.20
-3.96,-50.88,326.68,-63.04
-4.43,-50.88,327.21,-62.87
-4.89,-50.88,327.73,-62.70
-5.36,-50.88,328.25,-62.52
-5.83,-50.88,328.75,-62.34
-6.29,-50.88,329.25,-62.16
-6.76,-50.88,329.73,-61.97
-7.22,-50.88,330.21,-61.79
-7.69,-50.88,330.68,-61.59
-8.16,-50.88,331.14,-61.40
-8.62,-50.88,331.60,-61.20
-9.09,-50.88,332.04,-61.00
-9.56,-50.88,332.48,-60.80
-10.02,-50.88,332.91,-60.59
-10.49,-50.88,333.33,-60.38
-10.95,-50.88,333.74,-60.17
-11.42,-50.88,334.15,-59.96
-11.89,-50.88,334.55,-59.74
-12.35,-50.88,334.93,-59.52
-12.82,-50.88,335.32,-59.30
-13.28,-50.88,335.69,-59.08
-13.75,-50.88,336.06,-58.85
-14.22,-50.88,336.41,-58.63
-14.68,-50.88,336.77,-58.40
-15.15,-50.88,337.11,-58.16
-15.61,-50.88,337.45,-57.93
-16.08,-50.88,337.78,-57.69
-16.55,-50.88,338.10,-57.46
-17.01,-50.88,338.41,-57.22
-17.48,-50.88,338.72,-56.97
-17.94,-50.88,339.02,-56.73
-18.41,-50.88,339.32,-56.49
-18.88,-50.88,339.61,-56.24
-19.34,-50.88,339.89,-55.99
-19.81,-50.88,340.16,-55.74
-20.28,-50.88,340.43,-55.49
-20.74,-51.12,340.32,-55.11
-21.21,-51.12,340.58,-54.86
-21.67,-51.12,340.83,-54.60
-22.14,-51.12,341.07,-54.35
-22.61,-51.12,341.31,-54.09
-23.07,-51.12,341.55,-53.83
-23.54,-51.38,341.40,-53.46
-24.00,-51.38,341.62,-53.20
-24.47,-51.38,341.84,-52.94
-24.94,-51.38,342.05,-52.68
-25.40,-51.62,341.89,-52.31
-25.87,-51.62,342.09,-52.05
-26.33,-51.88,341.92,-51.68
-26.80,-51.88,342.12,-51.42
-27.27,-52.12,341.94,-51.05
-27.27,-52.38,341.58,-50.95
-27.73,-52.62,341.40,-50.59
-28.20,-52.88,341.23,-50.23
-28.20,-53.12,340.87,-50.13
-28.20,-53.38,340.51,-50.02
-28.67,-53.62,340.34,-49.67
-28.67,-53.88,339.99,-49.56
-28.67,-54.12,339.64,-49.46
-28.67,-54.38,339.29,-49.35
-28.67,-54.62,338.94,-49.25
-28.20,-54.88,338.42,-49.38
-28.20,-55.12,338.07,-49.27
-28.20,-55.38,337.73,-49.16
-27.73,-55.62,337.21,-49.28
-28.20,-55.62,337.39,-49.05
-27.27,-55.88,336.68,-49.40
-27.27,-56.12,336.34,-49.28
-26.80,-56.38,335.81,-49.38
-26.33,-56.62,335.28,-49.48
-25.87,-56.88,334.75,-49.58
